"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 15:02:06.702,146.228,0.000,2457.180690
14 Sep 2023 15:02:11.000,145.558,0.113,2444.804040
14 Sep 2023 15:02:16.000,144.770,0.242,2430.782653
14 Sep 2023 15:02:21.000,143.973,0.368,2417.175385
14 Sep 2023 15:02:26.000,143.167,0.490,2403.989748
14 Sep 2023 15:02:31.000,142.352,0.610,2391.233194
14 Sep 2023 15:02:36.000,141.529,0.726,2378.913080
14 Sep 2023 15:02:41.000,140.697,0.838,2367.036669
14 Sep 2023 15:02:46.000,139.856,0.947,2355.611107
14 Sep 2023 15:02:51.000,139.008,1.052,2344.643404
14 Sep 2023 15:02:56.000,138.151,1.153,2334.140418
14 Sep 2023 15:03:01.000,137.287,1.251,2324.108848
14 Sep 2023 15:03:06.000,136.415,1.344,2314.555197
14 Sep 2023 15:03:11.000,135.536,1.433,2305.485774
14 Sep 2023 15:03:16.000,134.651,1.517,2296.906665
14 Sep 2023 15:03:21.000,133.758,1.597,2288.823720
14 Sep 2023 15:03:26.000,132.860,1.673,2281.242531
14 Sep 2023 15:03:31.000,131.955,1.743,2274.168427
14 Sep 2023 15:03:36.000,131.045,1.809,2267.606441
14 Sep 2023 15:03:41.000,130.130,1.871,2261.561308
14 Sep 2023 15:03:46.000,129.210,1.927,2256.037445
14 Sep 2023 15:03:51.000,128.285,1.978,2251.038933
14 Sep 2023 15:03:56.000,127.356,2.024,2246.569506
14 Sep 2023 15:04:01.000,126.424,2.065,2242.632546
14 Sep 2023 15:04:06.000,125.489,2.101,2239.231055
14 Sep 2023 15:04:11.000,124.551,2.131,2236.367659
14 Sep 2023 15:04:16.000,123.611,2.156,2234.044594
14 Sep 2023 15:04:21.000,122.669,2.176,2232.263696
14 Sep 2023 15:04:26.000,121.726,2.190,2231.026394
14 Sep 2023 15:04:31.000,120.782,2.199,2230.333712
14 Sep 2023 15:04:36.000,119.837,2.202,2230.186263
14 Sep 2023 15:04:41.000,118.893,2.200,2230.584228
14 Sep 2023 15:04:46.000,117.949,2.193,2231.527394
14 Sep 2023 15:04:51.000,117.006,2.180,2233.015119
14 Sep 2023 15:04:56.000,116.065,2.161,2235.046347
14 Sep 2023 15:05:01.000,115.126,2.138,2237.619620
