"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 04:00:00.000,329.140,15.498,1517.981423
14 Sep 2023 04:00:05.000,329.618,16.109,1487.581606
14 Sep 2023 04:00:10.000,330.120,16.737,1457.360517
14 Sep 2023 04:00:15.000,330.644,17.384,1427.330408
14 Sep 2023 04:00:20.000,331.195,18.050,1397.504492
14 Sep 2023 04:00:25.000,331.773,18.737,1367.897019
14 Sep 2023 04:00:30.000,332.381,19.445,1338.523375
14 Sep 2023 04:00:35.000,333.021,20.176,1309.400182
14 Sep 2023 04:00:40.000,333.696,20.930,1280.545404
14 Sep 2023 04:00:45.000,334.408,21.708,1251.978473
14 Sep 2023 04:00:50.000,335.160,22.512,1223.720418
14 Sep 2023 04:00:55.000,335.957,23.342,1195.793991
14 Sep 2023 04:01:00.000,336.801,24.199,1168.223829
14 Sep 2023 04:01:05.000,337.696,25.085,1141.036598
14 Sep 2023 04:01:10.000,338.648,25.999,1114.261163
14 Sep 2023 04:01:15.000,339.662,26.944,1087.928751
14 Sep 2023 04:01:20.000,340.743,27.919,1062.073128
14 Sep 2023 04:01:25.000,341.897,28.924,1036.730769
14 Sep 2023 04:01:30.000,343.131,29.960,1011.941021
14 Sep 2023 04:01:35.000,344.454,31.026,987.746267
14 Sep 2023 04:01:40.000,345.873,32.122,964.192057
14 Sep 2023 04:01:45.000,347.397,33.246,941.327219
14 Sep 2023 04:01:50.000,349.037,34.395,919.203918
14 Sep 2023 04:01:55.000,350.804,35.567,897.877676
14 Sep 2023 04:02:00.000,352.710,36.758,877.407295
14 Sep 2023 04:02:05.000,354.766,37.962,857.854707
14 Sep 2023 04:02:10.000,356.987,39.171,839.284694
14 Sep 2023 04:02:15.000,359.386,40.379,821.764477
14 Sep 2023 04:02:20.000,1.975,41.574,805.363153
14 Sep 2023 04:02:25.000,4.768,42.744,790.150948
14 Sep 2023 04:02:30.000,7.774,43.875,776.198296
14 Sep 2023 04:02:35.000,11.001,44.950,763.574728
14 Sep 2023 04:02:40.000,14.453,45.952,752.347592
14 Sep 2023 04:02:45.000,18.126,46.861,742.580637
14 Sep 2023 04:02:50.000,22.010,47.659,734.332491
14 Sep 2023 04:02:55.000,26.085,48.325,727.655127
14 Sep 2023 04:03:00.000,30.324,48.843,722.592373
14 Sep 2023 04:03:05.000,34.688,49.197,719.178563
14 Sep 2023 04:03:10.000,39.131,49.378,717.437422
14 Sep 2023 04:03:15.000,43.601,49.380,717.381290
14 Sep 2023 04:03:20.000,48.046,49.201,719.010639
14 Sep 2023 04:03:25.000,52.413,48.849,722.314115
14 Sep 2023 04:03:30.000,56.657,48.333,727.268901
14 Sep 2023 04:03:35.000,60.739,47.668,733.841510
14 Sep 2023 04:03:40.000,64.630,46.871,741.988863
14 Sep 2023 04:03:45.000,68.311,45.961,751.659619
14 Sep 2023 04:03:50.000,71.770,44.958,762.795665
14 Sep 2023 04:03:55.000,75.005,43.881,775.333654
14 Sep 2023 04:04:00.000,78.019,42.748,789.206518
14 Sep 2023 04:04:05.000,80.818,41.575,804.344895
14 Sep 2023 04:04:10.000,83.414,40.376,820.678433
14 Sep 2023 04:04:15.000,85.818,39.165,838.136900
14 Sep 2023 04:04:20.000,88.045,37.951,856.651132
14 Sep 2023 04:04:25.000,90.106,36.743,876.153780
14 Sep 2023 04:04:30.000,92.016,35.549,896.579895
14 Sep 2023 04:04:35.000,93.786,34.372,917.867353
14 Sep 2023 04:04:40.000,95.430,33.219,939.957136
14 Sep 2023 04:04:45.000,96.957,32.091,962.793498
14 Sep 2023 04:04:50.000,98.378,30.991,986.324036
14 Sep 2023 04:04:55.000,99.702,29.920,1010.499695
14 Sep 2023 04:05:00.000,100.938,28.880,1035.274699
14 Sep 2023 04:05:05.000,102.093,27.871,1060.606443
14 Sep 2023 04:05:10.000,103.174,26.893,1086.455374
14 Sep 2023 04:05:15.000,104.188,25.945,1112.784812
14 Sep 2023 04:05:20.000,105.141,25.027,1139.560806
14 Sep 2023 04:05:25.000,106.036,24.138,1166.751951
14 Sep 2023 04:05:30.000,106.880,23.277,1194.329219
14 Sep 2023 04:05:35.000,107.675,22.444,1222.265789
14 Sep 2023 04:05:40.000,108.427,21.638,1250.536884
14 Sep 2023 04:05:45.000,109.138,20.857,1279.119612
14 Sep 2023 04:05:50.000,109.811,20.100,1307.992831
14 Sep 2023 04:05:55.000,110.450,19.368,1337.136998
14 Sep 2023 04:06:00.000,111.056,18.657,1366.534038
14 Sep 2023 04:06:05.000,111.633,17.968,1396.167236
14 Sep 2023 04:06:10.000,112.181,17.300,1426.021120
14 Sep 2023 04:06:15.000,112.704,16.651,1456.081357
14 Sep 2023 04:06:20.000,113.203,16.020,1486.334662
14 Sep 2023 04:06:25.000,113.680,15.408,1516.769033
14 Sep 2023 04:06:30.000,114.135,14.813,1547.372385
14 Sep 2023 04:06:35.000,114.571,14.233,1578.134405
14 Sep 2023 04:06:40.000,114.988,13.670,1609.045201
14 Sep 2023 04:06:45.000,115.388,13.120,1640.095574
14 Sep 2023 04:06:50.000,115.772,12.585,1671.276941
14 Sep 2023 04:06:55.000,116.141,12.064,1702.581298
14 Sep 2023 04:07:00.000,116.495,11.555,1734.001183
14 Sep 2023 04:07:05.000,116.836,11.058,1765.529609
14 Sep 2023 04:07:10.000,117.165,10.573,1797.160054
14 Sep 2023 04:07:15.000,117.481,10.099,1828.886399
14 Sep 2023 04:07:20.000,117.786,9.636,1860.702919
14 Sep 2023 04:07:25.000,118.080,9.183,1892.604236
14 Sep 2023 04:07:30.000,118.364,8.739,1924.585304
14 Sep 2023 04:07:35.000,118.639,8.305,1956.641383
14 Sep 2023 04:07:40.000,118.904,7.879,1988.768004
14 Sep 2023 04:07:45.000,119.161,7.462,2020.960966
14 Sep 2023 04:07:50.000,119.409,7.054,2053.216307
14 Sep 2023 04:07:55.000,119.650,6.652,2085.530293
14 Sep 2023 04:08:00.000,119.883,6.259,2117.899386
