"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 14:19:14.971,147.955,0.000,2705.007489
14 Sep 2023 14:19:19.000,147.402,0.114,2692.484591
14 Sep 2023 14:19:24.000,146.709,0.253,2677.246859
14 Sep 2023 14:19:29.000,146.007,0.390,2662.351598
14 Sep 2023 14:19:34.000,145.298,0.525,2647.805098
14 Sep 2023 14:19:39.000,144.581,0.657,2633.613638
14 Sep 2023 14:19:44.000,143.856,0.786,2619.783476
14 Sep 2023 14:19:49.000,143.124,0.913,2606.320850
14 Sep 2023 14:19:54.000,142.384,1.037,2593.231949
14 Sep 2023 14:19:59.000,141.636,1.158,2580.522925
14 Sep 2023 14:20:04.000,140.881,1.276,2568.199861
14 Sep 2023 14:20:09.000,140.119,1.391,2556.268781
14 Sep 2023 14:20:14.000,139.349,1.503,2544.735625
14 Sep 2023 14:20:19.000,138.572,1.611,2533.606244
14 Sep 2023 14:20:24.000,137.789,1.716,2522.886384
14 Sep 2023 14:20:29.000,136.999,1.817,2512.581686
14 Sep 2023 14:20:34.000,136.202,1.915,2502.697653
14 Sep 2023 14:20:39.000,135.399,2.009,2493.239662
14 Sep 2023 14:20:44.000,134.590,2.099,2484.212937
14 Sep 2023 14:20:49.000,133.775,2.185,2475.622540
14 Sep 2023 14:20:54.000,132.954,2.267,2467.473363
14 Sep 2023 14:20:59.000,132.128,2.345,2459.770111
14 Sep 2023 14:21:04.000,131.297,2.419,2452.517291
14 Sep 2023 14:21:09.000,130.461,2.488,2445.719213
14 Sep 2023 14:21:14.000,129.620,2.553,2439.379955
14 Sep 2023 14:21:19.000,128.775,2.614,2433.503375
14 Sep 2023 14:21:24.000,127.925,2.670,2428.093088
14 Sep 2023 14:21:29.000,127.073,2.721,2423.152460
14 Sep 2023 14:21:34.000,126.216,2.768,2418.684598
14 Sep 2023 14:21:39.000,125.357,2.810,2414.692343
14 Sep 2023 14:21:44.000,124.494,2.847,2411.178264
14 Sep 2023 14:21:49.000,123.630,2.880,2408.144637
14 Sep 2023 14:21:54.000,122.763,2.907,2405.593459
14 Sep 2023 14:21:59.000,121.894,2.930,2403.526425
14 Sep 2023 14:22:04.000,121.025,2.947,2401.944931
14 Sep 2023 14:22:09.000,120.154,2.960,2400.850077
14 Sep 2023 14:22:14.000,119.282,2.968,2400.242640
14 Sep 2023 14:22:19.000,118.410,2.971,2400.123100
14 Sep 2023 14:22:24.000,117.539,2.968,2400.491621
14 Sep 2023 14:22:29.000,116.668,2.961,2401.348056
