"Time (UTCG)","Xmtr Power1 (dBW)","Xmtr Gain1 (dB)","EIRP1 (dBW)","Prop Loss1 (dB)","Rcvd. Frequency1 (GHz)","Rcvd. Iso. Power1 (dBW)","Flux Density1 (dBW/m^2)","g/T1 (dB/K)","C/No1 (dB*Hz)","Bandwidth1 (kHz)","C/N1 (dB)","Eb/No1 (dB)","BER1",
14 Sep 2023 15:02:06.702,30.000,0.0000,30.000,183.4839,14.500141,-153.484,-108.800841,20.000000,95.115254,32000.000,20.0638,23.0741,1.000000e-30,
14 Sep 2023 15:02:11.000,30.000,0.0000,30.000,183.4400,14.500138,-153.440,-108.756980,20.000000,95.159115,32000.000,20.1076,23.1179,1.000000e-30,
14 Sep 2023 15:02:16.000,30.000,0.0000,30.000,183.3901,14.500134,-153.390,-108.707021,20.000000,95.209073,32000.000,20.1576,23.1679,1.000000e-30,
14 Sep 2023 15:02:21.000,30.000,0.0000,30.000,183.3413,14.500130,-153.341,-108.658262,20.000000,95.257832,32000.000,20.2063,23.2166,1.000000e-30,
14 Sep 2023 15:02:26.000,30.000,0.0000,30.000,183.2938,14.500125,-153.294,-108.610751,20.000000,95.305343,32000.000,20.2538,23.2641,1.000000e-30,
14 Sep 2023 15:02:31.000,30.000,0.0000,30.000,183.2476,14.500121,-153.248,-108.564537,20.000000,95.351557,32000.000,20.3001,23.3104,1.000000e-30,
14 Sep 2023 15:02:36.000,30.000,0.0000,30.000,183.2027,14.500117,-153.203,-108.519670,20.000000,95.396424,32000.000,20.3449,23.3552,1.000000e-30,
14 Sep 2023 15:02:41.000,30.000,0.0000,30.000,183.1592,14.500113,-153.159,-108.476198,20.000000,95.439896,32000.000,20.3884,23.3987,1.000000e-30,
14 Sep 2023 15:02:46.000,30.000,0.0000,30.000,183.1172,14.500108,-153.117,-108.434171,20.000000,95.481924,32000.000,20.4304,23.4407,1.000000e-30,
14 Sep 2023 15:02:51.000,30.000,0.0000,30.000,183.0767,14.500104,-153.077,-108.393635,20.000000,95.522460,32000.000,20.4710,23.4813,1.000000e-30,
14 Sep 2023 15:02:56.000,30.000,0.0000,30.000,183.0377,14.500099,-153.038,-108.354638,20.000000,95.561456,32000.000,20.5100,23.5203,1.000000e-30,
14 Sep 2023 15:03:01.000,30.000,0.0000,30.000,183.0003,14.500095,-153.000,-108.317228,20.000000,95.598866,32000.000,20.5474,23.5577,1.000000e-30,
14 Sep 2023 15:03:06.000,30.000,0.0000,30.000,182.9645,14.500090,-152.964,-108.281449,20.000000,95.634645,32000.000,20.5831,23.5934,1.000000e-30,
14 Sep 2023 15:03:11.000,30.000,0.0000,30.000,182.9304,14.500085,-152.930,-108.247348,20.000000,95.668747,32000.000,20.6172,23.6275,1.000000e-30,
14 Sep 2023 15:03:16.000,30.000,0.0000,30.000,182.8980,14.500081,-152.898,-108.214966,20.000000,95.701129,32000.000,20.6496,23.6599,1.000000e-30,
14 Sep 2023 15:03:21.000,30.000,0.0000,30.000,182.8674,14.500076,-152.867,-108.184346,20.000000,95.731749,32000.000,20.6802,23.6905,1.000000e-30,
14 Sep 2023 15:03:26.000,30.000,0.0000,30.000,182.8386,14.500071,-152.839,-108.155528,20.000000,95.760566,32000.000,20.7091,23.7194,1.000000e-30,
14 Sep 2023 15:03:31.000,30.000,0.0000,30.000,182.8116,14.500066,-152.812,-108.128551,20.000000,95.787543,32000.000,20.7360,23.7463,1.000000e-30,
14 Sep 2023 15:03:36.000,30.000,0.0000,30.000,182.7865,14.500061,-152.786,-108.103452,20.000000,95.812642,32000.000,20.7611,23.7714,1.000000e-30,
14 Sep 2023 15:03:41.000,30.000,0.0000,30.000,182.7633,14.500056,-152.763,-108.080266,20.000000,95.835828,32000.000,20.7843,23.7946,1.000000e-30,
14 Sep 2023 15:03:46.000,30.000,0.0000,30.000,182.7421,14.500051,-152.742,-108.059025,20.000000,95.857070,32000.000,20.8056,23.8159,1.000000e-30,
14 Sep 2023 15:03:51.000,30.000,0.0000,30.000,182.7228,14.500046,-152.723,-108.039759,20.000000,95.876335,32000.000,20.8248,23.8351,1.000000e-30,
14 Sep 2023 15:03:56.000,30.000,0.0000,30.000,182.7055,14.500041,-152.706,-108.022496,20.000000,95.893598,32000.000,20.8421,23.8524,1.000000e-30,
14 Sep 2023 15:04:01.000,30.000,0.0000,30.000,182.6903,14.500035,-152.690,-108.007261,20.000000,95.908833,32000.000,20.8573,23.8676,1.000000e-30,
